"vehicle_id","type","model","year","vin","availability","customer_id"
214363,"new","Maverick",2011,"aebd939b-378f-4254-8199-534a1a6afe3e",False,866
813950,"new","Colorado",2000,"0d0aa0c4-289d-4edd-be1d-3259b5d1f73e",False,448
138383,"new","F-150",2007,"5c606c09-59c9-4c46-8633-955cd39c8b3d",True,
494481,"new","Highlander",2006,"8c42edff-7a6c-47ae-a811-a536d7a1c844",False,822
388014,"used","HR-V",2004,"263b5896-df31-4bf5-b5fa-9bcc8dcb52b3",False,2099
287300,"new","Corolla",2005,"15256fee-ff21-40cd-9a99-425bb5af9997",False,706
852621,"new","Ridgeline",2001,"69c9f3e7-cedb-4eca-9d1a-9ef94a250cff",False,429
686118,"used","Highlander",2017,"c172e07f-9ad4-4a84-94ae-e43a92ce2c5c",False,2297
990403,"new","Maxima",2018,"f11a92c0-0ef5-436c-880a-477bc8c7251e",False,3638
801366,"new","Blazer EV",2021,"ed1ecec4-c032-456c-af5b-035c0dd03841",False,2350
517071,"new","CR-V Hybrid",2000,"ca74c306-b06b-4bdf-bd40-aebfd6262cd8",False,1156
350226,"new","Highlander",2000,"854510ac-8bd6-4388-97f5-801659fe853f",False,2742
689009,"used","Tundra",2009,"9b42489f-1e09-4cbd-a5c8-18b162991954",True,
494977,"new","Rouge",2007,"02ce456c-c5c5-43b1-917a-7e865c98dcab",True,
190403,"new","Sentra",2002,"6dd4492f-50f9-4038-8ffc-f107934253bf",False,3151
775709,"new","Colorado",2016,"ae15c6b9-fa94-456a-be43-5b9de1662ae8",True,
572498,"new","Maverick",2009,"68127a55-9e6b-4a83-977a-e829eb886316",True,
339184,"new","Trax",2017,"46f853dc-78e9-41bd-837c-176af07ab1a2",True,
254565,"new","Equinox",2009,"42c3f42c-925c-43c9-be8d-051a0ceee00a",False,2846
386215,"used","Trax",2008,"1dfbf6b8-c600-466e-80e8-3bf2f899373b",False,2582
997147,"new","Sentra",2005,"dfe4c4e0-3997-4313-945e-a5e7c9663ae8",True,
118430,"new","Maverick",2023,"755e4460-3f6c-4243-aba6-5fe3b15d78dd",True,
318566,"new","RAV4 Hybrid",2014,"9cfd1f18-f9f7-4e5d-955b-588139c79a4c",False,2985
459973,"used","RAV4 Hybrid",2001,"8cb7efca-aa99-46a9-be16-414aaf70a0ea",True,
495638,"new","Corolla",2014,"450ecbe2-9b3a-4358-9758-ca479f29f42c",False,571
48134,"new","Tundra",2001,"333a7649-4328-431d-9162-fe1ae75df394",True,
531407,"new","Silverado",2014,"cc2e3298-d69c-4b85-bf16-c822fef7fbc8",True,
17926,"new","Passport",2016,"5186e89f-c87a-4586-96a8-a381a5a3a65a",False,167
617726,"new","Sienna",2005,"074b93e5-b05e-4871-92fe-c9ca2015b19b",True,
560167,"new","Tundra",2021,"505e7d0e-1fd3-48d9-8b21-31cc832c7afd",False,269
163032,"used","Ridgeline",2018,"d916d53f-a8ad-4aae-8bc1-75d6186dd02e",False,1438
663834,"new","Colorado",2016,"6b7ed713-ba19-4c19-82ee-1acf7d1e8fb0",True,
637320,"new","Blazer EV",2018,"7323e2b0-b158-4334-a440-93efb146b417",False,1110
522774,"new","Rouge",2015,"5d5f52c6-bdf0-4515-80e5-2017949bfccb",True,
109462,"new","Corolla",2018,"65cf8e09-42b1-464d-b811-628c2f441b92",False,1139
12018,"new","Blazer EV",2017,"e918204e-2eae-4ade-b979-5c5811f3a4a5",False,3932
101663,"new","Frontier",2003,"b56cf181-ff16-4f29-ab11-9834a49efd7d",True,
326461,"new","Mustang Mach-E",2015,"e4f19ac6-c4e6-4ae1-94eb-33aaf91984e7",True,
753140,"new","Sienna",2017,"cb9dd930-4a30-456d-a378-80676d67f2b0",True,
386171,"new","Corolla",2005,"52f649fd-015b-4979-8bde-c29e90f20102",True,
940364,"new","Sentra",2012,"2f3c666b-5e65-4724-ab84-e816c2584b1e",True,
904798,"used","Passport",2019,"a76d9261-34a5-4397-8106-62aaf511f578",False,1342
637284,"new","Highlander",2002,"151731eb-5a87-45d4-9794-7e4d8b0177f8",True,
777363,"new","Passport",2019,"013a7f6f-52f1-4db5-9e5d-a9b8142eeba1",False,2755
205869,"new","Maxima",2004,"f774cb6d-7bef-4771-a77d-6326a55ac091",False,1931
167235,"new","Corolla",2021,"7fdd54a1-3118-44ea-864c-0dbd04414e54",False,3183
707962,"new","Ridgeline",2004,"93896f94-2beb-40ca-b14c-a00edaa5b0b0",True,
117749,"new","Equinox",2006,"b8ea0d47-da5c-4378-9c70-75ed4f2c8f17",False,1486
49335,"new","Colorado",2020,"56aaa2f5-9470-4d09-bfce-acbc0b1139db",False,3336
109985,"new","Highlander",2001,"a8526c91-2709-4371-8273-c9133e6cdab6",False,2999
729614,"new","Mustang Mach-E",2014,"31c81e7f-c84e-4769-a9b5-50e0f5adee28",True,
232227,"new","Highlander",2018,"2f409867-a184-4935-9248-107772b4efca",False,1197
577640,"new","Silverado",2013,"4b4cf84e-af39-45e4-bbe1-c70e6178ff2c",True,
191469,"new","Tundra",2015,"4e4f0e3d-85a2-45b5-8980-4187d6c416cc",True,
904852,"new","Corolla",2009,"861ca3ed-c527-4522-b27c-d84892e97e07",False,2334
27555,"new","Mustang Mach-E",2020,"b6ccd740-07e4-4ad0-ac9e-42878ff1a01f",False,3060
137226,"new","Blazer EV",2000,"2ae0a4f7-7c99-4be7-9ddf-247650d3f997",False,2255
556246,"new","F-150",2007,"fb8a913b-549c-46aa-a71e-26eca637d2ec",False,3351
721024,"new","Frontier",2019,"df11a98c-66ff-4931-950b-de5a1e7c18b9",False,975
532507,"new","Pilot",2017,"a9f1d313-8876-4162-a5dd-0531a5dc2ff2",False,840
327263,"new","Rouge",2013,"59181443-93fd-489a-800c-291459a61a3a",False,1389
382959,"new","F-150",2019,"41760c30-1ba7-454a-816f-c2ed5bf02481",True,
467471,"new","Corolla",2012,"003e0755-806a-41be-a251-9cc6b3df7cde",False,3908
281906,"new","Sienna",2018,"d5d7f039-4107-4578-8d96-b2b78ffb3f0f",False,3368
59119,"used","RAV4 Hybrid",2014,"e87187bf-233b-4e6c-af9b-bb3692443aeb",False,3947
8112,"new","Highlander",2019,"c289485e-aa95-43f2-867a-0efd3db09489",False,3668
731275,"new","CR-V Hybrid",2008,"b0408ac8-fea0-4dc7-8973-5b80a46ced2c",True,
6055,"new","Equinox",2009,"46d89259-c7b4-496e-becf-a1ede47fae9d",True,
526588,"new","Maxima",2021,"eede9886-bc9f-4ee5-aaaf-96b9dc2289be",False,1447
774443,"used","Ridgeline",2021,"e082206f-3969-4a38-9b64-f33edeb51c88",True,
852526,"new","Passport",2010,"8a1693e9-c5c7-43e9-9112-85ece2fc8b84",False,1112
907420,"new","Maverick",2016,"789a4708-7549-495b-b031-3da663de9823",False,1244
853022,"new","Blazer EV",2014,"bf6d8ecf-42ae-41ad-ae7d-2f9a672525d5",True,
501785,"new","F-150",2007,"bd96f5be-3d93-4ece-a36b-19e7c395f8ce",False,819
76364,"new","Maxima",2015,"bc9c4fcf-ebc9-499a-8ad5-1d583dbf3b81",True,
746939,"new","Sienna",2023,"4cf5cda5-6e50-4c57-bc48-f3b4e79607d6",True,
858719,"used","Silverado",2018,"80313269-9321-452b-9f82-63f808244d07",False,1388
423679,"new","F-150",2021,"9e31ccd6-1edb-401d-ae8a-fa2740e4bd0e",True,
145976,"used","Corolla",2014,"200cefe3-add4-45f6-8166-564cf91b969c",False,740
651312,"used","Tundra",2013,"d6a51667-fdf6-4350-a964-b6d71dc4f503",True,
748326,"new","Sentra",2019,"0b72733d-820a-42d7-abd8-bf63ac38752b",False,1650
190985,"used","Corolla",2000,"bf8bbf83-a689-4568-8688-fd9ae76dfbad",False,1013
647856,"new","Silverado",2002,"d87cde2d-2758-4cf1-a4aa-711cc8cfd84b",True,
254400,"used","Blazer EV",2020,"e7f613b2-4cf8-48a1-bea9-8781cf4ac05e",False,3709
963990,"new","Corolla",2023,"d5ba42b4-11b1-4f9b-99cd-29f4e0f2ba79",False,2414
913455,"new","Maverick",2013,"00513f7c-5c17-4f47-ad7f-83b7a4555a22",False,718
190109,"new","Rouge",2012,"c3115bff-f14b-4c49-be0c-04cca77c0d2f",False,3075
850461,"new","Blazer EV",2007,"f0074ec0-fac1-4d2f-87fa-e14b1755c1c0",True,
841796,"new","Rouge",2011,"3361cdc2-6cba-4c0a-a01c-faac4b03bed9",True,
733167,"new","HR-V",2019,"4e569fe1-9cc6-4a59-b7e9-2bd283c20d53",True,
713714,"new","Corolla",2005,"7209dc3e-e23a-455b-a60d-6de9d7492e4e",False,2503
815023,"new","CR-V Hybrid",2022,"8e41620b-6476-42d0-96ab-7664b3d1abb6",True,
650590,"used","Corolla",2013,"8958ce48-e85b-4534-9e65-f4233c45264f",True,
118215,"new","Blazer EV",2007,"57bd1663-75ce-4a3e-ab3c-8b1af9d7fec5",False,2431
713171,"new","Tundra",2021,"c8893910-8f79-4c5c-bc34-b156b5ab2120",False,1498
799555,"new","Mustang Mach-E",2006,"e5ddca30-52aa-4de1-8695-8c45ef89c0d5",True,
464620,"new","Bronco Sport",2021,"74eae5cc-63bd-49ee-a4de-c38f1a67ffd3",False,122
907473,"new","Blazer EV",2000,"b90c1a9b-55e4-4ac7-af90-40e74bce7148",False,1373
911828,"new","Maxima",2013,"c172d046-87af-43b9-945b-08e27ecd7093",True,
933862,"new","Altima",2010,"59a30a0a-acbe-4903-b0d2-de105d10446d",False,3132
673445,"new","Maverick",2000,"91e54dcd-be70-496e-b35c-018bfc61a3f4",False,1343
173409,"new","HR-V",2022,"8f0d2e2e-a97e-4047-9ff9-76d5213c7f39",True,
629843,"used","Trax",2007,"4fe83f7e-91ce-4c29-807f-36a1380666ab",True,
422984,"new","Mustang Mach-E",2017,"a84d3a29-a8c2-467f-ba59-790ce44d448d",True,
867027,"new","Corolla",2002,"a71bfdb5-99c6-45c4-a588-4796a763de78",True,
575794,"new","RAV4 Hybrid",2003,"36e59798-360a-44f5-8d39-11b2a49ed837",True,
846780,"new","Trax",2001,"105812b2-9cf8-4b27-9fc0-693eb131e759",True,
292153,"used","Ridgeline",2002,"0f2dd781-b8cc-41c1-9174-ecb3ba64a123",False,474
643043,"new","Maverick",2009,"2a21b8e3-2ac9-4fe1-a3d5-dc1ce4ec6354",True,
398222,"used","Colorado",2003,"6bb23a75-7d51-4820-80e3-14578cffc688",True,
407319,"used","Trax",2010,"a9b5e109-6feb-425c-b1e5-50cc4152392b",True,
997235,"used","Passport",2017,"e1f8479e-debf-46d4-9eb8-ab93eae193e5",False,3530
636316,"used","Frontier",2022,"f537c247-b3cf-4de8-b93f-bcab2cb88316",False,595
176229,"new","Blazer EV",2014,"f336ca51-77e2-4b4c-a505-286e760a65b9",False,2491
376974,"new","Edge",2009,"e2562ac1-5ca1-4975-aaa0-cf1e5c37acfd",True,
363499,"new","CR-V Hybrid",2011,"945a5bb6-ae1c-45f1-9b9d-dbb666377458",False,119
863989,"new","Rouge",2020,"3f54ad10-673e-4f33-8a7a-6da3034c94d8",True,
931112,"new","Rouge",2012,"a509231f-24bf-4cd9-ac2c-fcdc7c5bcb73",False,657
485968,"new","Maverick",2011,"e450c96d-1d0b-4011-bc9e-2c2b2f5a1ef1",True,
917586,"new","Mustang Mach-E",2004,"cbe508e5-e3d9-4858-b3f0-d99a8ebbf515",True,
101421,"new","Frontier",2019,"568e519e-7cde-40c9-bcd5-ab2cf495ce5a",True,
449457,"new","Rouge",2005,"b7a64ede-e9c0-48cf-9509-85bd67d20f7c",False,2474
671181,"new","Silverado",2018,"d0c43d86-fc9a-4867-aa56-66e02d3eacc7",True,
815487,"new","Colorado",2020,"2465b81f-b13e-4455-94e5-b11a098f013a",True,
383811,"used","Tundra",2022,"1f57f9eb-cf46-425b-b55c-bc5ea2e34a2d",True,
560780,"new","Trax",2007,"05014349-9bd0-4fe8-a826-099deff5a7b1",True,
926616,"new","Maverick",2017,"0fa99966-2c2f-4caf-a272-2ff90c05898f",False,235
275342,"new","Frontier",2018,"c6b2900f-4aa4-41ff-8cf5-a1ea1c217104",True,
455293,"new","Trax",2013,"872c4706-8b4c-42d0-9e64-f387b10451e4",False,931
879862,"new","Passport",2019,"a41d347d-8e48-4141-b822-fd95d18bb0bc",True,
416549,"new","Sentra",2008,"7af82de4-9fed-4ec1-99f6-d67078205fb4",True,
91625,"used","Highlander",2016,"a15a4653-61e4-4434-91ee-c0bc5261e76b",True,
179620,"new","Sienna",2018,"19628f37-ce4c-4869-a0f0-4d0dfb78b3e7",True,
639924,"new","Pilot",2012,"cf8bc219-6691-469d-ae5b-36e9b8843332",True,
881565,"new","Ridgeline",2023,"6dadf023-f5fb-4888-a115-8cd94c0d1da4",True,
25328,"new","Sienna",2006,"770dd41b-fa0e-45b8-b41c-058357b666c2",False,3791
699539,"new","RAV4 Hybrid",2008,"338e188d-da18-4981-a6f3-da61627ef527",True,
830107,"new","HR-V",2020,"065a29ce-a232-4c09-8f8f-550ff85128fd",False,3980
132311,"new","RAV4 Hybrid",2000,"9f4bcf3f-0a35-4fd6-87ee-92881666945e",False,2346
754944,"new","F-150",2018,"b28a9a66-6da2-4a06-97a8-5c67dfd0532a",True,
584537,"new","Maxima",2022,"8bffe058-9a99-4794-a6ba-cdadc0aabea3",True,
203889,"new","Frontier",2016,"c391bd76-eca9-47fc-9196-e42658bcf4df",True,
153543,"new","CR-V Hybrid",2012,"1ccb137b-a7f8-4a27-90ca-ed25009294f9",False,3100
831544,"new","Pilot",2011,"45f0c61c-18c4-473a-ae6d-02fa0ee2a163",True,
225780,"new","Silverado",2011,"50e8ed6c-4f71-4eb8-94aa-a297a3af6ced",False,1629
575007,"new","HR-V",2000,"51c3c0b4-5c28-42a0-903c-17a35796f3b7",False,1510
909978,"used","Maverick",2011,"ecd5f56a-4f6d-4c98-8ab8-0cb4dfba2508",True,
872934,"new","Tundra",2021,"e2593490-1799-4298-84e4-21fbc7c9ab55",True,
399551,"new","Passport",2009,"cc403e16-633e-4c63-8e99-0e9d219c4c26",False,362
